id,source,layer,name,housenumber,street,postcode,lat,lon,addendum_json_pelias
"803fb8c2-c217-4afa-90ed-490c2408f29e",gm,address,"385c Đ. Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","385c","Đường Nguyễn Trãi",,10.759437,106.6855687,"{""plus_code"": ""7P28QM8M+C8"", ""prov_code"": ""79"", ""dist_code"": ""760"", ""ward_code"": ""26758"", ""provider"": ""iotl"", ""data"": {""id"": ""628cbd053cd9ef318cc8c6b9"", ""location"": {""lng"": 106.6855687, ""lat"": 10.759437}, ""address"": ""385c Đ. Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"", ""name"": ""NMS- CN Công ty cổ phần dịch vụ di động Thế Hệ Mới"", ""objectId"": null, ""description"": null, ""types"": [""establishment"", ""other"", ""point""], ""tags"": null, ""addressComponents"": [{""types"": [""housenumber""], ""name"": ""385c""}, {""types"": [""street""], ""name"": ""Nguyễn Trãi""}, {""types"": [""admin_level_4""], ""name"": ""Phường Nguyễn Cư Trinh""}, {""types"": [""admin_level_3""], ""name"": ""Quận 1""}, {""types"": [""admin_level_2""], ""name"": ""Thành phố Hồ Chí Minh""}, {""types"": [""admin_level_1""], ""name"": ""Việt Nam""}], ""photos"": null, ""startDate"": null, ""endDate"": null, ""geometry"": null, ""phoneNumber"": null, ""website"": null, ""businessHours"": null}}"
"9687e238-a5c3-45bb-8255-b56a529430c5",gm,address,"47A Đ. Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","47A","Đ. Phạm Viết Chánh",,10.7661206,106.6833206,"{""plus_code"": ""7P28QM8M+C8"", ""prov_code"": ""79"", ""dist_code"": ""760"", ""ward_code"": ""26758"", ""provider"": ""iotl"", ""data"": {""id"": ""6099fd1934025a4d53da0941"", ""location"": {""lng"": 106.6833206, ""lat"": 10.7661206}, ""address"": ""47A Đ. Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"", ""name"": ""47A Đ. Phạm Viết Chánh"", ""objectId"": null, ""description"": null, ""types"": [""other"", ""point""], ""tags"": null, ""addressComponents"": [{""types"": [""housenumber""], ""name"": ""47A""}, {""types"": [""street""], ""name"": ""Phạm Viết Chánh""}, {""types"": [""admin_level_4""], ""name"": ""Phường Nguyễn Cư Trinh""}, {""types"": [""admin_level_3""], ""name"": ""Quận 1""}, {""types"": [""admin_level_2""], ""name"": ""Thành phố Hồ Chí Minh""}, {""types"": [""admin_level_1""], ""name"": ""Việt Nam""}], ""photos"": null, ""startDate"": null, ""endDate"": null, ""geometry"": null, ""phoneNumber"": null, ""website"": null, ""businessHours"": null}}"
"9687e238-a5c3-45bb-8255-b56a529430c5d","gm","address","103 Nguyễn Tuân Phường Thanh Xuân Trung,Quận Thanh Xuân,Thành Phố Hà Nội","103","Nguyễn Tuân ",""," 20.996773498","105.80446236200004","{""plus_code"": ""XRW3+RM"", ""prov_code"": ""01"", ""dist_code"":  ""009"", ""ward_code"": ""00355"", ""provider"": ""vietmap"",""data"": {""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[105.80446236200004,20.99677349800004]},""properties"":{""layer"":null,""name"":""103 Nguyễn Tuân"",""housenumber"":null,""street"":""Nguyễn Tuân"",""distance"":0,""accuracy"":""point"",""region"":""Thành Phố Hà Nội"",""region_gid"":""100000011"",""county"":""Quận Thanh Xuân"",""county_gid"":""100002571"",""locality"":""Phường Thanh Xuân Trung"",""locality_gid"":""100264715"",""label"":""103 Nguyễn Tuân"",""address"":""103 Nguyễn Tuân Phường Thanh Xuân Trung,Quận Thanh Xuân,Thành Phố Hà Nội"",""addendum"":{},""block"":null,""floor"":null},""bbox"":[105.80446236200004,20.99677349800004,105.80446236200004,20.99677349800004],""Id"":""5d92881e-7c03-4c37-b2bb-8711c656b502""}}"
